ENV,GEN,REP,GY,HM
E1,G1,1,2.167,44.93
E1,G1,2,2.50304,46.9
E1,G1,3,2.42732,47.75
E1,G2,1,3.2075,45.2
E1,G2,2,2.9329,45.3
E1,G2,3,2.56484,45.49
E1,G3,1,2.7694,46.7
E1,G3,2,3.62096,43.21
E1,G3,3,2.2754,47.75
E1,G4,1,2.3595,47.93
E1,G4,2,3.0242,47.95
E1,G4,3,2.382,49
E1,G5,1,2.28856,49
E1,G5,2,2.1157,51
E1,G5,3,2.16052,49.65
E1,G6,1,2.5223,48.6
E1,G6,2,2.1861,47.75
E1,G6,3,2.194,48.4
E1,G7,1,2.5921,46.9
E1,G7,3,2.90364,48.15
E1,G8,1,2.92584,47.55
E1,G8,2,2.88148,47.75
E1,G8,3,2.89076,48.6
E1,G9,1,2.75992,50.3
E1,G9,2,2.21086,46.7
E1,G9,3,2.007,46.05
E1,G10,1,2.17908,47.3
E1,G10,2,1.26688,44.64
E1,G10,3,2.47626,48.8
E2,G1,1,3.04073,40.41
E2,G1,2,3.15697,43.02
E2,G1,3,2.92437,44.29
E2,G2,1,2.78412,41.43
E2,G2,2,3.67695,42.69
E2,G2,3,3.23209,46.25
E2,G3,1,3.39484,40.7
E2,G3,2,3.876,41.81
E2,G3,3,3.554,44.44
E2,G4,1,3.17862,41.29
E2,G4,2,3.36844,43.02
E2,G4,3,3.02318,47
E2,G5,2,3.41821,46
E2,G5,3,2.9312,48.6
E2,G6,1,3.15453,45.19
E2,G6,2,3.495,45.48
E2,G6,3,3.22399,48.15
E2,G7,1,1.243,46.25
E2,G7,2,2.89791,46.05
E2,G7,3,3.69712,43.38
E2,G8,1,3.211,45.65
E2,G8,2,3.197,47.1
E2,G8,3,3.92639,43.85
E2,G9,1,2.65963,40.71
E2,G9,2,3.20378,39.67
E2,G9,3,3.42118,39.7
E2,G10,1,3.019,45.5
E2,G10,2,3.22442,46.05
E2,G10,3,3.1941,43.88
E3,G1,1,4.11,52
E3,G1,2,3.663,50
E3,G1,3,4.468,50
E3,G2,1,4.614,49
E3,G2,2,4.32,55
E3,G2,3,4.772,50
E3,G3,1,4.511,50
E3,G3,2,3.916,51
E3,G3,3,3.97,52
E3,G4,1,4.349,52
E3,G4,2,3.437,54
E3,G4,3,3.777,54
E3,G5,1,4.179,53
E3,G5,2,4.008,54
E3,G5,3,3.037,55
E3,G6,1,4.057,54
E3,G6,2,3.161,55
E3,G6,3,3.086,52
E3,G7,1,4.58,53
E3,G7,3,4.006,53
E3,G8,1,4.347,53
E3,G8,2,4.544,53
E3,G8,3,3.439,49
E3,G9,1,4.407,55
E3,G9,2,4.634,56
E3,G9,3,4.477,51
E3,G10,1,4.002,57
E3,G10,2,3.597,55
E3,G10,3,4.744,55
E4,G1,1,3.543,48
E4,G1,2,3.826,48
E4,G1,3,3.114,47
E4,G2,1,3.64872,45
E4,G2,2,4.049,48
E4,G2,3,3.449,48
E4,G3,1,4.457,50
E4,G3,2,4.166,49
E4,G3,3,3.779,50
E4,G4,1,3.55958,49
E4,G4,2,3.44592,50
E4,G4,3,2.901,51
E4,G5,1,3.47294,52
E4,G5,2,3.1594,53
E4,G5,3,3.505,50
E4,G6,1,2.98082,50
E4,G6,2,3.977,52
E4,G6,3,3.2526,52
E4,G7,1,3.391,48
E4,G7,2,3.081,50
E4,G7,3,2.58486,51
E4,G8,1,3.99466,50
E4,G8,2,4.02666,52
E4,G9,1,4.371,50
E4,G9,2,3.24302,50
E4,G9,3,4.075,51
E4,G10,1,4.081,53
E4,G10,2,4.269,52
E4,G10,3,4.463,51
E5,G1,1,4.157592593,52.65
E5,G1,2,4.568,50.1
E5,G1,3,3.786,48.4
E5,G2,1,3.941296296,50.1
E5,G2,2,3.687,55.85
E5,G2,3,3.854,55.4
E5,G3,1,4.184962963,54.55
E5,G3,2,3.768,52
E5,G3,3,4.427,56.05
E5,G4,1,3.793814815,48
E5,G4,2,4.088,52
E5,G4,3,3.466,47.75
E5,G5,1,3.493,52.85
E5,G5,2,3.769,53.1
E5,G5,3,3.145,54.35
E5,G6,1,3.529777778,51.6
E5,G6,2,3.921,55.2
E5,G6,3,3.256,48.6
E5,G7,1,3.834740741,52.85
E5,G7,2,4.25,47.75
E5,G7,3,4.059,48.6
E5,G8,1,4.810296296,54.55
E5,G8,2,5.093,52.25
E5,G8,3,4.533,51
E5,G9,1,4.116518519,49.9
E5,G9,2,3.778,56.62
E5,G9,3,3.908,49.25
E5,G10,1,3.19,54.55
E5,G10,2,3.688,56.05
E5,G10,3,3.219,55
E6,G1,1,2.782,44.8
E6,G1,2,3.025185185,45.45
E6,G1,3,2.620074074,42.25
E6,G2,1,2.821,44.35
E6,G2,2,2.444,44.15
E6,G2,3,2.359,47.15
E6,G3,1,3.257,45.2
E6,G3,2,2.954148148,47.15
E6,G3,3,2.743,47.75
E6,G4,1,2.691,48
E6,G4,2,2.497074074,50.55
E6,G4,3,2.915481481,49.25
E6,G5,1,2.661,44.15
E6,G5,2,2.107592593,48.4
E6,G5,3,2.53137037,47.55
E6,G6,1,2.688,43.95
E6,G6,2,2.285888889,46.7
E6,G7,1,2.561,42.65
E6,G7,2,2.830703704,46.3
E6,G7,3,2.606,46.7
E6,G8,1,2.899,48
E6,G8,2,2.581,49.25
E6,G8,3,3.24437037,49
E6,G9,1,3.011,45
E6,G9,2,2.847111111,47.5
E6,G9,3,2.446,43
E6,G10,1,2.7,40
E6,G10,2,2.553925926,42.25
E6,G10,3,2.200703704,41.4
E7,G1,1,1.453,49
E7,G1,2,1.84434,48
E7,G1,3,2.3963,44
E7,G2,1,1.521,47
E7,G2,2,1.98154,50
E7,G2,3,2.46034,46
E7,G3,1,1.762,48
E7,G3,2,2.52306,44
E7,G3,3,2.19058,49
E7,G4,1,1.41282,48
E7,G4,2,2.19178,51
E7,G4,3,2.33806,47.75
E7,G5,1,1.683,47
E7,G5,2,1.378,47
E7,G5,3,1.9093,50
E7,G6,1,1.47036,48
E7,G6,2,1.86272,52
E7,G6,3,1.94028,48.6
E7,G7,1,2.47178,45
E7,G7,2,2.2227,47.75
E7,G7,3,2.95796,48.6
E7,G8,1,2.46546,48
E7,G8,2,2.1237,50
E7,G8,3,2.19618,53
E7,G9,1,1.2684,49.9
E7,G9,2,1.48484,49
E7,G9,3,1.4265,49.25
E7,G10,1,2.469,52
E7,G10,2,2.19908,48
E7,G10,3,2.0628,50
E8,G1,1,1.91193,44
E8,G1,2,2.383,43
E8,G1,3,2.52087,42.25
E8,G2,1,1.95111,42
E8,G2,2,2.04399,44.15
E8,G2,3,2.14079,47.15
E8,G3,1,2.6139,45.2
E8,G3,2,2.8312,43
E8,G3,3,3.10616,47.75
E8,G4,1,1.78111,48
E8,G4,2,2.53966,46
E8,G4,3,2.581,49.25
E8,G5,1,2.24211,46
E8,G5,2,2.80321,44
E8,G5,3,3.07967,47
E8,G6,1,1.96095,43.95
E8,G6,2,2.84429,46
E8,G6,3,2.8129,47
E8,G7,1,2.29361,42.65
E8,G7,2,2.73293,45
E8,G7,3,2.72361,46
E8,G8,1,2.5528,47
E8,G8,2,2.79676,49.25
E8,G8,3,3.287,49
E8,G9,1,2.385,43
E8,G9,2,2.468,47
E8,G9,3,2.60278,45
E8,G10,1,2.46195,40
E8,G10,2,2.85972,42.25
E8,G10,3,2.77926,43
E9,G1,1,3.16,54
E9,G1,2,2.856,51
E9,G1,3,2.335,53
E9,G2,1,3.744,52
E9,G2,2,3.41,49
E9,G2,3,2.936,48
E9,G3,1,3.507,50
E9,G3,2,3.877,48
E9,G3,3,2.497,51
E9,G4,1,3.486,49
E9,G4,2,3.948,51
E9,G4,3,3.74,47
E9,G5,1,2.905,54
E9,G5,2,3.711,53
E9,G5,3,3.283,52
E9,G6,1,3.238,52
E9,G6,2,3.192,50
E9,G6,3,2.689,49
E9,G7,1,3.32,50
E9,G7,2,3.17,49
E9,G7,3,2.93,53
E9,G8,1,3.01,52
E9,G8,2,2.609,50
E9,G8,3,2.865,51
E9,G9,1,2.118,55
E9,G9,2,1.93,52
E9,G9,3,1.782,54
E9,G10,1,2.849,54
E9,G10,2,3.797,55
E9,G10,3,2.804,52
E10,G1,1,2.54986,44
E10,G1,2,2.3511,47
E10,G1,3,2.02194,45
E10,G2,1,2.597,46
E10,G2,2,2.148,48
E10,G2,3,2.14616,45
E10,G3,1,2.55718,42
E10,G3,2,2.4,45
E10,G3,3,2.053,46
E10,G4,1,2.25418,42
E10,G4,2,2.1303,40
E10,G4,3,2.11758,43
E10,G5,1,2.21626,51
E10,G5,2,2.42324,53
E10,G5,3,1.78,49
E10,G6,1,2.2668,45
E10,G6,2,2.53364,47
E10,G6,3,1.824,47
E10,G7,1,2.59596,40
E10,G7,2,2.5526,40
E10,G7,3,2.17712,43
E10,G8,1,2.65194,42
E10,G8,2,2.88836,45
E10,G8,3,2.1843,44
E10,G9,1,1.764,41
E10,G9,2,2.137,44
E10,G9,3,1.326,40
E10,G10,1,1.70046,40
E10,G10,2,1.7373,43
E10,G10,3,1.171,42
E11,G1,1,1.022,54
E11,G1,2,1.657,53
E11,G1,3,1.388,55
E11,G2,1,1.897,52
E11,G2,2,1.129,53
E11,G2,3,1.44616,53
E11,G3,1,1.85718,54
E11,G3,2,1.655,54
E11,G3,3,1.191,52
E11,G4,1,0.984,54
E11,G4,2,1.675,56
E11,G4,3,1.451,52
E11,G5,1,1.218,49.7
E11,G5,2,1.727,53
E11,G5,3,1.032,53
E11,G6,1,1.327,56
E11,G6,2,2.034,56
E11,G6,3,1.141,57
E11,G7,1,1.233,54.55
E11,G7,2,1.858,57
E11,G7,3,1.002,53
E11,G8,1,2.156,57
E11,G8,2,1.41,58
E11,G8,3,1.4843,54
E11,G9,1,1.011,53.7
E11,G9,2,1.437,57
E11,G9,3,0.928,53
E11,G10,1,0.989,55
E11,G10,2,1.0373,51
E11,G10,3,0.671,56
E12,G1,1,1.119,50.75
E12,G1,2,1.591,51
E12,G1,3,1.317,48
E12,G2,1,2.31,45
E12,G2,2,1.879,43
E12,G2,3,1.791,46
E12,G3,1,1.590074074,49
E12,G3,2,1.992,50
E12,G3,3,1.711,53
E12,G4,1,1.372,48
E12,G4,2,1.766,48
E12,G4,3,1.444,53
E12,G5,1,1.763,52
E12,G5,2,1.452,48.4
E12,G5,3,1.852,47
E12,G6,1,1.653,50
E12,G6,2,1.391,52.65
E12,G6,3,1.113,51
E12,G7,1,1.751888889,50
E12,G7,2,2.219,52.25
E12,G7,3,1.884,49
E12,G8,1,1.91,52
E12,G8,2,2.321,47
E12,G8,3,1.769,53
E12,G9,1,1.171,47
E12,G9,2,1.37,48.4
E12,G9,3,1.687,52
E12,G10,1,0.883407407,48.6
E12,G10,2,1.211,52.85
E12,G10,3,0.972,50
E13,G1,1,2.762407407,46
E13,G1,2,3.38737037,44.35
E13,G1,3,2.845,42.85
E13,G2,1,3.142925926,45
E13,G2,2,3.122,40
E13,G2,3,2.82,42
E13,G3,1,3.135,47
E13,G3,2,3.801444444,46
E13,G3,3,3.471,45.45
E13,G4,1,2.844888889,48
E13,G4,2,2.481259259,47.55
E13,G4,3,2.581,44
E13,G5,1,2.666,50
E13,G5,2,2.853296296,47.55
E13,G5,3,2.185,45.45
E13,G6,1,2.643,45
E13,G6,2,2.761,46.5
E13,G6,3,3.331,44
E13,G7,1,3.597,48
E13,G7,2,3.113518519,49.7
E13,G7,3,2.841,46
E13,G8,1,3.847925926,51
E13,G8,2,3.091,49.9
E13,G8,3,3.621,46.7
E13,G9,1,3.196888889,49
E13,G9,2,2.998,47.35
E13,G9,3,2.657,45
E13,G10,1,1.666,51
E13,G10,2,2.087,49.45
E13,G10,3,1.739,47
E14,G1,1,1.223,42
E14,G1,2,1.766814815,41.15
E14,G1,3,1.610185185,39.05
E14,G2,1,1.452,41
E14,G2,2,1.641,39.05
E14,G2,3,1.186740741,38
E14,G3,1,2.331,40
E14,G3,2,2.093962963,41.6
E14,G3,3,1.754,39.05
E14,G4,1,2.128,42
E14,G4,2,1.858148148,42
E14,G4,3,1.597851852,39.05
E14,G5,1,2.07,42
E14,G5,2,1.829296296,42.65
E14,G5,3,1.453592593,39.05
E14,G6,1,2.004,39
E14,G6,2,1.794,40
E14,G6,3,1.598555556,40.55
E14,G7,1,1.943,45
E14,G7,2,1.572,42.85
E14,G7,3,2.294,44.35
E14,G8,1,1.768,42
E14,G8,2,2.114592593,40
E14,G8,3,2.093,39.9
E14,G9,1,1.876,42
E14,G9,2,1.672444444,40.95
E14,G9,3,1.155185185,40
E14,G10,1,1.611,43
E14,G10,2,2.065259259,43.7
E14,G10,3,1.90137037,40
